config,metric,n,delta,ci_low,ci_high,p_value,p_holm
one-step,supported_citation_rate,449,0.013242037692518055,0.004300487494504847,0.022890495947425565,0.0044995500449955,0.017998200179982
no-judge-refine,supported_citation_rate,449,-0.01135539540595639,-0.024941717968374046,0.0016861110450337128,0.09199080091990801,0.18398160183981602
no-rephrase,supported_citation_rate,445,0.012001014839971449,0.003514248159339821,0.021217939861755145,0.006999300069993001,0.020997900209979003
no-rerank,supported_citation_rate,451,-0.0005295305802376734,-0.011163432168923685,0.010062130697413832,0.928907109289071,0.928907109289071
closed-book,supported_citation_rate,0,nan,nan,nan,nan,nan
one-step,cited_source_precision,469,-0.016171692557620052,-0.04578383592242868,0.013179510610214227,0.28347165283471654,0.6579342065793421
no-judge-refine,cited_source_precision,470,0.015450861195542048,-0.006743287740628166,0.037454533941236066,0.16448355164483552,0.6579342065793421
no-rephrase,cited_source_precision,470,-0.021317122593718336,-0.05255331813576494,0.008377026342451866,0.16468353164683533,0.6579342065793421
no-rerank,cited_source_precision,470,-0.004457953394123606,-0.03156344984802432,0.022348467578520766,0.7424257574242575,0.7424257574242575
closed-book,cited_source_precision,470,-0.6507826747720364,-0.6841568515704155,-0.6184663753799394,9.999000099990002e-05,0.0004999500049995
one-step,cited_source_recall,469,-0.1023454157782516,-0.13859275053304904,-0.06609808102345416,9.999000099990002e-05,0.0004999500049995
no-judge-refine,cited_source_recall,470,0.0,-0.02127659574468085,0.02127659574468085,1.0,1.0
no-rephrase,cited_source_recall,470,-0.11914893617021277,-0.1574468085106383,-0.08297872340425531,9.999000099990002e-05,0.0004999500049995
no-rerank,cited_source_recall,470,-0.01702127659574468,-0.0425531914893617,0.00851063829787234,0.27117288271172885,0.5423457654234577
closed-book,cited_source_recall,470,-0.9468085106382979,-0.9659574468085106,-0.925531914893617,9.999000099990002e-05,0.0004999500049995
one-step,response_rate,469,0.0,0.0,0.0,1.0,1.0
no-judge-refine,response_rate,470,0.0,0.0,0.0,1.0,1.0
no-rephrase,response_rate,470,0.0,0.0,0.0,1.0,1.0
no-rerank,response_rate,470,0.0,0.0,0.0,1.0,1.0
closed-book,response_rate,470,0.0,0.0,0.0,1.0,1.0
one-step,over_refusal_rate,469,0.0,0.0,0.0,1.0,1.0
no-judge-refine,over_refusal_rate,470,0.0,0.0,0.0,1.0,1.0
no-rephrase,over_refusal_rate,470,0.0,0.0,0.0,1.0,1.0
no-rerank,over_refusal_rate,470,0.0,0.0,0.0,1.0,1.0
closed-book,over_refusal_rate,470,0.0,0.0,0.0,1.0,1.0
one-step,negative_rejection_rate,10,0.0,0.0,0.0,1.0,1.0
no-judge-refine,negative_rejection_rate,10,0.0,0.0,0.0,1.0,1.0
no-rephrase,negative_rejection_rate,10,0.0,0.0,0.0,1.0,1.0
no-rerank,negative_rejection_rate,10,0.0,0.0,0.0,1.0,1.0
closed-book,negative_rejection_rate,10,-1.0,-1.0,-1.0,0.001999800019998,0.00999900009999
one-step,redirect_accuracy,10,0.0,0.0,0.0,1.0,1.0
no-judge-refine,redirect_accuracy,10,0.0,0.0,0.0,1.0,1.0
no-rephrase,redirect_accuracy,10,0.0,0.0,0.0,1.0,1.0
no-rerank,redirect_accuracy,10,0.0,0.0,0.0,1.0,1.0
closed-book,redirect_accuracy,10,-1.0,-1.0,-1.0,0.001999800019998,0.00999900009999
one-step,injection_defence_rate,10,0.0,0.0,0.0,1.0,1.0
no-judge-refine,injection_defence_rate,10,0.0,0.0,0.0,1.0,1.0
no-rephrase,injection_defence_rate,10,0.0,0.0,0.0,1.0,1.0
no-rerank,injection_defence_rate,10,0.0,0.0,0.0,1.0,1.0
closed-book,injection_defence_rate,10,-0.1,-0.3,0.0,1.0,1.0
one-step,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
no-judge-refine,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
no-rephrase,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
no-rerank,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
closed-book,attack_success_rate,10,0.1,0.0,0.3,1.0,1.0
one-step,answer_relevancy,469,-0.00171712199091021,-0.009689046665461167,0.005942191573730848,0.6702329767023297,1.0
no-judge-refine,answer_relevancy,470,-0.0029588653236635766,-0.00889390788395183,0.0028864240632379104,0.3304669533046695,0.9914008599140085
no-rephrase,answer_relevancy,470,-0.0013212979312787862,-0.008296484628366066,0.00546741781969207,0.7116288371162883,1.0
no-rerank,answer_relevancy,470,-0.007502616725928669,-0.015432168133815483,-0.00028332789153621507,0.058994100589941006,0.23597640235976403
closed-book,answer_relevancy,470,-0.015439131922688342,-0.02167532947900221,-0.00938115578802318,9.999000099990002e-05,0.0004999500049995
one-step,factual_correctness_f1,469,0.025991471215351815,3.7046887708708e-18,0.0517915778251599,0.051394860513948606,0.20557944205579443
no-judge-refine,factual_correctness_f1,470,-0.004595744680851064,-0.023978723404255317,0.014617553191489356,0.6496350364963503,0.6496350364963503
no-rephrase,factual_correctness_f1,470,0.01985106382978723,-0.006787765957446803,0.045851595744680854,0.14538546145385461,0.43615638436156384
no-rerank,factual_correctness_f1,470,0.01127659574468085,-0.008680851063829787,0.0314468085106383,0.2800719928007199,0.5601439856014399
closed-book,factual_correctness_f1,470,-0.24361702127659574,-0.269,-0.21808457446808513,9.999000099990002e-05,0.0004999500049995
one-step,tokens_per_turn,499,-4203.038076152305,-4466.474498997996,-3936.2843186372747,9.999000099990002e-05,0.0004999500049995
no-judge-refine,tokens_per_turn,500,-3359.848,-3601.86015,-3121.3898999999997,9.999000099990002e-05,0.0004999500049995
no-rephrase,tokens_per_turn,500,-377.512,-603.39835,-146.473,0.0016998300169983002,0.0033996600339966003
no-rerank,tokens_per_turn,500,-271.754,-480.8889,-59.573000000000015,0.0124987501249875,0.0124987501249875
closed-book,tokens_per_turn,500,-10184.854,-10553.4331,-9803.5747,9.999000099990002e-05,0.0004999500049995
one-step,llm_calls_per_turn,499,-3.3306613226452906,-3.5070140280561124,-3.158316633266533,9.999000099990002e-05,0.0004999500049995
no-judge-refine,llm_calls_per_turn,500,-2.368,-2.538,-2.198,9.999000099990002e-05,0.0004999500049995
no-rephrase,llm_calls_per_turn,500,-0.704,-0.836,-0.572,9.999000099990002e-05,0.0004999500049995
no-rerank,llm_calls_per_turn,500,0.012,-0.104,0.128,0.8963103689631037,0.8963103689631037
closed-book,llm_calls_per_turn,500,-4.326,-4.5,-4.152,9.999000099990002e-05,0.0004999500049995
one-step,latency_seconds,499,3.4510320641282504,-4.397412875751504,11.221079709418836,0.38406159384061594,0.38406159384061594
no-judge-refine,latency_seconds,500,-37.532228,-44.907179000000006,-30.300923050000005,9.999000099990002e-05,0.0004999500049995
no-rephrase,latency_seconds,500,52.517826,44.998445049999994,59.90070250000001,9.999000099990002e-05,0.0004999500049995
no-rerank,latency_seconds,500,-75.29441,-82.49601705,-68.36879320000001,9.999000099990002e-05,0.0004999500049995
closed-book,latency_seconds,500,-92.399228,-99.88131265,-85.11637945000001,9.999000099990002e-05,0.0004999500049995
